name;gender;Great Britain;Ireland;U.S.A.;Italy;Malta;Portugal;Spain;France;Belgium;Luxembourg;the Netherlands;East Frisia;Germany;Austria;Swiss;Iceland;Denmark;Norway;Sweden;Finland;Estonia;Latvia;Lithuania;Poland;Czech Republic;Slovakia;Hungary;Romania;Bulgaria;Bosnia and Herzegovina;Croatia;Kosovo;Macedonia;Montenegro;Serbia;Slovenia;Albania;Greece;Russia;Belarus;Moldova;Ukraine;Armenia;Azerbaijan;Georgia;Kazakhstan/Uzbekistan,etc.;Turkey;Arabia/Persia;Israel;China;India/Sri Lanka;Japan;Korea;Vietnam;other countries
Alva;?;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvin;M;-8;;-5;;;;;;;;;;;;;;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alwyn;M;-7;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alyce;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alyn;?F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alys;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alyson;F;-7;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amabel;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amalia;F;;;;-4;;;-4;;;;;-8;-8;-5;-7;;;;;;;;;-8;;;;-6;;;;;;;;;;-4;-8;;;;-3;;-7;;;;;;;;;;
Amanda;F;-3;-5;-2;-8;-4;;-8;;-7;;-6;-7;;;-6;;-7;-8;-5;;;;;;;;;;;;;;;;;;-6;;;;;;;;;;;;;;;;;;
Amber;F;-8;;-4;;;;;;-6;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ambrose;M;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amelia;F;-6;;-6;-4;;;-4;;;;;;;-8;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amery;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amie;F;-8;;-7;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amy;F;-4;-5;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anastazja;F;;;;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anderson;M;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andie;F;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrea;?F;-4;;-3;;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew;M;0;-2;-2;;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrina;F;-8;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrzelika;F;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andy;?M;-7;-7;-6;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aneirin;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aneta;F;;;;;;;;;;;;;;;;;;;;;;;;-4;-7;;;-4;-4;;;;-2;;;;-6;;;;-6;;-8;;;;;;;;;;;;
Anetta;F;;;;;;;;;;;;;;;;;;;;;;;;-6;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aneurin;M;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angela;F;-2;-3;-2;-1;-4;;-4;-7;-4;;-3;-3;-2;-3;-3;;;;;;-5;;;;;-4;;-2;;;;;-7;;;-3;;-8;-5;;-2;;-7;;;-7;;;;;;;;;
Angharad;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anghard;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angie;F;-8;-8;-6;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angus;M;-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ania;F;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anice;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aniela;F;;;;;;;;;;;;;;;;;;;;;;;;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anita;F;-4;-4;-4;-5;;;-8;-5;-3;-5;-1;-3;-3;-2;-2;-5;-2;-2;-1;-3;-5;-1;;-5;;;-2;-5;-8;-4;-4;-6;-4;-7;-6;-4;-4;;;;;;;;;;;;;;-2;;;;
Ann;F;-1;-2;-3;;-3;;;;-2;;-6;-7;-6;-8;-6;;-2;-2;0;;-5;;;;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;;;
Anna;F;-3;-3;-3;1;-2;;-6;-4;-1;-2;-4;-2;-2;0;-2;1;-1;-3;0;-1;-3;-1;;2;-1;1;-1;-5;-3;;;;;;;;;0;0;-1;-6;0;0;-2;-1;-2;;;-2;;;-7;;;
Annabel;F;-7;;-8;;;;;-8;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annabella;F;-8;;;-8;;;;;;;;;;-8;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annabelle;F;-8;;-8;;;;;-6;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
